[2026-03-10T14:03:17.568995] status=running completed=0/1200 metric=constrained_operational best_episode=None best_score=None
[2026-03-10T14:03:22.872472] status=running completed=1/1200 metric=constrained_operational best_episode=0 best_score=-127.49305555555556
[2026-03-10T14:04:06.657892] status=running completed=51/1200 metric=constrained_operational best_episode=50 best_score=103.30833333333334
[2026-03-10T14:04:54.199994] status=running completed=101/1200 metric=constrained_operational best_episode=100 best_score=110.07083333333333
[2026-03-10T14:05:40.111917] status=running completed=151/1200 metric=constrained_operational best_episode=100 best_score=110.07083333333333
[2026-03-10T14:06:27.498922] status=running completed=201/1200 metric=constrained_operational best_episode=100 best_score=110.07083333333333
[2026-03-10T14:07:13.971286] status=running completed=251/1200 metric=constrained_operational best_episode=100 best_score=110.07083333333333
[2026-03-10T14:08:01.282841] status=running completed=301/1200 metric=constrained_operational best_episode=100 best_score=110.07083333333333
[2026-03-10T14:08:48.252440] status=running completed=351/1200 metric=constrained_operational best_episode=100 best_score=110.07083333333333
[2026-03-10T14:09:37.611767] status=running completed=401/1200 metric=constrained_operational best_episode=100 best_score=110.07083333333333
[2026-03-10T14:10:26.175127] status=running completed=451/1200 metric=constrained_operational best_episode=100 best_score=110.07083333333333
[2026-03-10T14:11:14.153259] status=running completed=501/1200 metric=constrained_operational best_episode=100 best_score=110.07083333333333
[2026-03-10T14:12:00.403492] status=running completed=551/1200 metric=constrained_operational best_episode=100 best_score=110.07083333333333
[2026-03-10T14:12:48.243131] status=running completed=601/1200 metric=constrained_operational best_episode=100 best_score=110.07083333333333
[2026-03-10T14:13:32.908652] status=running completed=651/1200 metric=constrained_operational best_episode=100 best_score=110.07083333333333
[2026-03-10T14:14:17.762326] status=running completed=701/1200 metric=constrained_operational best_episode=100 best_score=110.07083333333333
[2026-03-10T14:15:02.977808] status=running completed=751/1200 metric=constrained_operational best_episode=100 best_score=110.07083333333333
[2026-03-10T14:15:48.135336] status=running completed=801/1200 metric=constrained_operational best_episode=100 best_score=110.07083333333333
[2026-03-10T14:16:33.494088] status=running completed=851/1200 metric=constrained_operational best_episode=100 best_score=110.07083333333333
[2026-03-10T14:17:18.193476] status=running completed=901/1200 metric=constrained_operational best_episode=100 best_score=110.07083333333333
[2026-03-10T14:18:04.801333] status=running completed=951/1200 metric=constrained_operational best_episode=100 best_score=110.07083333333333
[2026-03-10T14:18:50.227423] status=running completed=1001/1200 metric=constrained_operational best_episode=100 best_score=110.07083333333333
[2026-03-10T14:19:35.732998] status=running completed=1051/1200 metric=constrained_operational best_episode=100 best_score=110.07083333333333
[2026-03-10T14:20:21.096785] status=running completed=1101/1200 metric=constrained_operational best_episode=100 best_score=110.07083333333333
[2026-03-10T14:21:06.689999] status=running completed=1151/1200 metric=constrained_operational best_episode=100 best_score=110.07083333333333
[2026-03-10T14:21:51.122987] status=running completed=1200/1200 metric=constrained_operational best_episode=100 best_score=110.07083333333333
[2026-03-10T14:22:31.625878] status=completed completed=1200/1200 metric=constrained_operational best_episode=100 best_score=99.45138888888889
