[2026-03-10T16:30:13.771925] status=running completed=0/900 metric=constrained_operational best_episode=None best_score=None
[2026-03-10T16:30:19.785122] status=running completed=1/900 metric=constrained_operational best_episode=0 best_score=-127.49305555555556
[2026-03-10T16:31:06.028098] status=running completed=51/900 metric=constrained_operational best_episode=50 best_score=101.03472222222223
[2026-03-10T16:31:53.270342] status=running completed=101/900 metric=constrained_operational best_episode=100 best_score=103.44684343434344
[2026-03-10T16:32:41.251846] status=running completed=151/900 metric=constrained_operational best_episode=150 best_score=121.02222222222224
[2026-03-10T16:33:29.118650] status=running completed=201/900 metric=constrained_operational best_episode=150 best_score=121.02222222222224
[2026-03-10T16:34:16.068521] status=running completed=251/900 metric=constrained_operational best_episode=150 best_score=121.02222222222224
[2026-03-10T16:35:01.669280] status=running completed=301/900 metric=constrained_operational best_episode=150 best_score=121.02222222222224
[2026-03-10T16:35:47.689223] status=running completed=351/900 metric=constrained_operational best_episode=150 best_score=121.02222222222224
[2026-03-10T16:36:34.281684] status=running completed=401/900 metric=constrained_operational best_episode=150 best_score=121.02222222222224
[2026-03-10T16:37:20.424363] status=running completed=451/900 metric=constrained_operational best_episode=150 best_score=121.02222222222224
[2026-03-10T16:38:06.848037] status=running completed=501/900 metric=constrained_operational best_episode=150 best_score=121.02222222222224
[2026-03-10T16:38:53.123648] status=running completed=551/900 metric=constrained_operational best_episode=550 best_score=143.35277777777776
[2026-03-10T16:39:39.671043] status=running completed=601/900 metric=constrained_operational best_episode=550 best_score=143.35277777777776
[2026-03-10T16:40:26.356497] status=running completed=651/900 metric=constrained_operational best_episode=550 best_score=143.35277777777776
[2026-03-10T16:41:17.467068] status=running completed=701/900 metric=constrained_operational best_episode=550 best_score=143.35277777777776
[2026-03-10T16:42:11.715869] status=running completed=751/900 metric=constrained_operational best_episode=550 best_score=143.35277777777776
[2026-03-10T16:43:04.811897] status=running completed=801/900 metric=constrained_operational best_episode=550 best_score=143.35277777777776
[2026-03-10T16:43:58.155756] status=running completed=851/900 metric=constrained_operational best_episode=550 best_score=143.35277777777776
[2026-03-10T16:44:51.134458] status=running completed=900/900 metric=constrained_operational best_episode=550 best_score=143.35277777777776
[2026-03-10T16:45:34.500778] status=completed completed=900/900 metric=constrained_operational best_episode=800 best_score=137.39791666666665
