[2026-03-10T15:29:40.458768] status=running completed=0/1200 metric=constrained_operational best_episode=None best_score=None
[2026-03-10T15:29:46.391090] status=running completed=1/1200 metric=constrained_operational best_episode=0 best_score=-137.05307641352428
[2026-03-10T15:30:30.096903] status=running completed=51/1200 metric=constrained_operational best_episode=50 best_score=75.2071150547949
[2026-03-10T15:31:16.711296] status=running completed=101/1200 metric=constrained_operational best_episode=50 best_score=75.2071150547949
[2026-03-10T15:32:02.826683] status=running completed=151/1200 metric=constrained_operational best_episode=50 best_score=75.2071150547949
[2026-03-10T15:32:57.039607] status=running completed=201/1200 metric=constrained_operational best_episode=50 best_score=75.2071150547949
[2026-03-10T15:33:47.795762] status=running completed=251/1200 metric=constrained_operational best_episode=50 best_score=75.2071150547949
[2026-03-10T15:34:40.352016] status=running completed=301/1200 metric=constrained_operational best_episode=50 best_score=75.2071150547949
[2026-03-10T15:35:29.135690] status=running completed=351/1200 metric=constrained_operational best_episode=50 best_score=75.2071150547949
[2026-03-10T15:36:21.524188] status=running completed=401/1200 metric=constrained_operational best_episode=50 best_score=75.2071150547949
[2026-03-10T15:37:14.166465] status=running completed=451/1200 metric=constrained_operational best_episode=50 best_score=75.2071150547949
[2026-03-10T15:38:08.355784] status=running completed=501/1200 metric=constrained_operational best_episode=50 best_score=75.2071150547949
[2026-03-10T15:38:55.482408] status=running completed=551/1200 metric=constrained_operational best_episode=50 best_score=75.2071150547949
[2026-03-10T15:39:46.327380] status=running completed=601/1200 metric=constrained_operational best_episode=50 best_score=75.2071150547949
[2026-03-10T15:40:40.935866] status=running completed=651/1200 metric=constrained_operational best_episode=50 best_score=75.2071150547949
[2026-03-10T15:41:33.493330] status=running completed=701/1200 metric=constrained_operational best_episode=50 best_score=75.2071150547949
[2026-03-10T15:42:23.625650] status=running completed=751/1200 metric=constrained_operational best_episode=50 best_score=75.2071150547949
[2026-03-10T15:43:16.714373] status=running completed=801/1200 metric=constrained_operational best_episode=800 best_score=76.76493059696547
[2026-03-10T15:44:11.704554] status=running completed=851/1200 metric=constrained_operational best_episode=850 best_score=90.7717287671862
[2026-03-10T15:45:06.480322] status=running completed=901/1200 metric=constrained_operational best_episode=850 best_score=90.7717287671862
[2026-03-10T15:46:00.242866] status=running completed=951/1200 metric=constrained_operational best_episode=850 best_score=90.7717287671862
[2026-03-10T15:46:50.553012] status=running completed=1001/1200 metric=constrained_operational best_episode=850 best_score=90.7717287671862
[2026-03-10T15:47:40.276091] status=running completed=1051/1200 metric=constrained_operational best_episode=850 best_score=90.7717287671862
[2026-03-10T15:48:27.229310] status=running completed=1101/1200 metric=constrained_operational best_episode=850 best_score=90.7717287671862
[2026-03-10T15:49:17.414772] status=running completed=1151/1200 metric=constrained_operational best_episode=850 best_score=90.7717287671862
[2026-03-10T15:50:02.067440] status=running completed=1200/1200 metric=constrained_operational best_episode=850 best_score=90.7717287671862
[2026-03-10T15:50:43.391128] status=completed completed=1200/1200 metric=constrained_operational best_episode=800 best_score=81.80642592687092
