[2026-03-10T13:27:21.627555] status=running completed=0/800 metric=constrained_operational best_episode=None best_score=None
[2026-03-10T13:27:27.344143] status=running completed=1/800 metric=constrained_operational best_episode=0 best_score=-127.49305555555556
[2026-03-10T13:28:13.014775] status=running completed=51/800 metric=constrained_operational best_episode=50 best_score=41.3
[2026-03-10T13:28:58.404736] status=running completed=101/800 metric=constrained_operational best_episode=50 best_score=41.3
[2026-03-10T13:29:43.879519] status=running completed=151/800 metric=constrained_operational best_episode=50 best_score=41.3
[2026-03-10T13:30:29.531495] status=running completed=201/800 metric=constrained_operational best_episode=50 best_score=41.3
[2026-03-10T13:31:15.290799] status=running completed=251/800 metric=constrained_operational best_episode=50 best_score=41.3
[2026-03-10T13:32:00.779730] status=running completed=301/800 metric=constrained_operational best_episode=50 best_score=41.3
[2026-03-10T13:32:46.518729] status=running completed=351/800 metric=constrained_operational best_episode=50 best_score=41.3
[2026-03-10T13:33:31.937376] status=running completed=401/800 metric=constrained_operational best_episode=50 best_score=41.3
[2026-03-10T13:34:17.518972] status=running completed=451/800 metric=constrained_operational best_episode=50 best_score=41.3
[2026-03-10T13:35:03.065373] status=running completed=501/800 metric=constrained_operational best_episode=50 best_score=41.3
[2026-03-10T13:35:48.705139] status=running completed=551/800 metric=constrained_operational best_episode=50 best_score=41.3
[2026-03-10T13:36:34.596407] status=running completed=601/800 metric=constrained_operational best_episode=50 best_score=41.3
[2026-03-10T13:37:20.555779] status=running completed=651/800 metric=constrained_operational best_episode=50 best_score=41.3
[2026-03-10T13:38:06.219946] status=running completed=701/800 metric=constrained_operational best_episode=50 best_score=41.3
[2026-03-10T13:38:51.919568] status=running completed=751/800 metric=constrained_operational best_episode=50 best_score=41.3
[2026-03-10T13:39:37.018368] status=running completed=800/800 metric=constrained_operational best_episode=50 best_score=41.3
[2026-03-10T13:40:17.547063] status=completed completed=800/800 metric=constrained_operational best_episode=50 best_score=33.01805555555556
